capability_id,module,name,feature_ids,personas,business_outcomes,working_status,readiness_gate,benchmark_evidence_ids,dependency_ids,journey_ids,owner_notes,last_reviewed_on
CRM-CAP-001,CRM,Prospect and relationship master data,F001;F002;F003;F004;F008,REP;SDR;MGR;OPS,"Trusted prospect/company/contact identity, provenance and data quality",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-001;CRM-P1-BE-003;CRM-P1-BE-005;CRM-P1-BE-007;CRM-P1-BE-015,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-002,CRM,"Lead lifecycle, qualification and prioritization",F005;F006;F007;F027,REP;SDR;MGR;OPS,"Explainable routing, qualification, lifecycle governance and prioritization",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-009;CRM-P1-BE-011;CRM-P1-BE-013;CRM-P1-BE-053,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-003,CRM,Opportunity and pipeline governance,F009;F010;F011;F012;F026,REP;MGR;EXEC;OPS,"Governed commercial pursuit, stage flow, probability and outcomes",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-017;CRM-P1-BE-019;CRM-P1-BE-021;CRM-P1-BE-023;CRM-P1-BE-051,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-004,CRM,Seller activity and follow-up workspace,F013;F014;F015;F016;F017;F018;F019,REP;MGR;OPS,"Permission-safe calls, meetings, tasks, reminders, notes, email and timeline",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-025;CRM-P1-BE-027;CRM-P1-BE-029;CRM-P1-BE-031;CRM-P1-BE-033;CRM-P1-BE-035;CRM-P1-BE-037,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-005,CRM,Sales organization and coverage,F020,REP;MGR;OPS;ADMIN,"Effective-dated sales teams, territories and hierarchy semantics",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-039,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-006,CRM,CRM data operations and customization,F021;F028;F029,REP;MGR;OPS;ADMIN,"Safe import/export, tenant metadata customization and bulk operations",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-041;CRM-P1-BE-055;CRM-P1-BE-057,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-007,CRM,CRM conversion and Sales handoff,F022;F023,REP;MGR;OPS,Transactional lead conversion and public-contract quotation handoff,SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-043;CRM-P1-BE-045,,,CRM Pass 1 enterprise specification,2026-08-30
CRM-CAP-008,CRM,Pipeline analytics and forecasting,F024;F025;F030,REP;MGR;EXEC;OPS,"Permission-safe KPIs, reproducible forecasts and governed reports",SPECIFICATION_READY,SPECIFICATION_READY,CRM-P1-BE-047;CRM-P1-BE-049;CRM-P1-BE-059,,,CRM Pass 1 enterprise specification,2026-08-30
SALES-CAP-001,Sales,"Customer, catalog and pricing foundation",F031;F032;F033;F034;F035,SALES_REP;SALES_OPS;SALES_MANAGER;ADMIN,Trusted customer/product references and deterministic commercial pricing,SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-001;SALES-P2-BE-003;SALES-P2-BE-005;SALES-P2-BE-007;SALES-P2-BE-009,,,Sales Pass 2 enterprise specification,2026-08-30
SALES-CAP-002,Sales,Quotation and commercial governance,F036;F037;F038;F039;F040;F041,SALES_REP;SALES_OPS;SALES_MANAGER;APPROVER,"Versioned, approval-safe offers with reproducible totals and terms",SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-011;SALES-P2-BE-013;SALES-P2-BE-015;SALES-P2-BE-017;SALES-P2-BE-019;SALES-P2-BE-021,,,Sales Pass 2 enterprise specification,2026-08-30
